,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
6641,8169.0,0.857321003765953,4.09391182702914,-7.42389358948559,7.38024451788662,0.973366022888688,-2.73076151658057,-1.49649705633444,0.543015172692922,-2.35119015933267,-3.94423849794435,6.35507773663404,-7.30974798382371,0.7484505505775,-9.05799252943745,-0.648944909074786,-1.07311652692728,1.52450091526025,1.83136353283608,-0.0897244112241547,0.483302650495284,0.375026285129017,0.145399853347782,0.240603265009756,-0.234649222710157,-1.00488094720044,0.435831916241838,0.618323805168482,0.148468944379397,1.0,1
157546,110033.0,2.03725355280243,0.0560145798868797,-1.25473625024049,0.283976101241733,0.323603320778865,-0.581643662930571,-0.0107857466514689,-0.247400695240117,1.73207058361336,-0.308840535816651,2.0057655490735,-1.36183134456491,1.87052629972827,2.05625024086994,-0.571705238102673,-0.128796439752993,-0.0613910104750975,0.827534490124839,-0.123015010092671,-0.24367854840674,0.172872011425681,0.869981580274604,0.0174618850980393,0.734333489350631,0.29991260682141,-0.515054047744464,-0.0251042616298853,-0.0622735618570895,1.0,0
266299,162274.0,-0.851785652963641,0.929862329506284,-0.853583726316762,-0.655339262651405,1.40195213584344,0.828687865045142,0.800735091668443,0.178710657108174,0.185090186001947,-0.329175431043454,0.994254632522528,-0.486439123549808,-1.67781199075977,-0.454628224432832,1.03014279014884,-0.504250417900541,0.82238432041285,0.236606990143201,-0.594255664311616,-0.343282388726888,0.390106712850774,1.34444609499485,-0.244101272065567,-1.72945791101987,-0.766180788727223,-0.148834070967913,-0.725484412726182,-0.247778134067897,38.83,0
150666,93860.0,-10.8502815883108,6.72746568826853,-16.760583409542,8.42583167857118,-10.2526968683093,-4.19217104406337,-14.0770860104531,7.16828793346092,-3.68324217370244,-15.2399619587112,8.03070840755191,-16.0603057628826,0.270529742348469,-14.9529810390579,-0.241094883743813,-11.866730636746,-15.4869899240937,-5.74865155747378,4.1300314273319,-0.646818272966729,2.5416369467068,0.135534921100722,-1.02396689219897,0.40626452579196,0.106592778669641,-0.0262323892202069,-1.46463002356247,-0.411681819907858,78.0,1
135334,81205.0,1.3098881427551,-0.0005251717183287,0.278196061956623,-0.0940449003985928,-0.306162512285887,-0.490025476851738,-0.147487052072406,-0.153310592855355,0.264035351791608,-0.177841829010399,-0.862620864148298,0.334910819403866,1.04949472269317,-0.07099691813678,1.18626918556942,0.654747822252441,-0.732356301760909,-0.234672554935387,0.265170459463904,0.0347523881151764,-0.170829311924357,-0.472757949712425,-0.0278234577114407,-0.38736519399595,0.253785473548357,0.920960491931811,-0.0671349382301338,0.0057468101620881,15.94,0
8794,11996.0,1.00977375881738,0.282580969544922,1.68567071756973,2.80538298403696,-0.715791613289012,0.34982245426458,-0.643179021920889,0.135278990119484,0.89022609020042,0.315670511164804,2.0957272784557,-1.30547142833535,2.38695016112029,1.18797698767188,-1.39125659026371,0.862390501116444,-0.0604257162968575,0.688582857394976,-1.07080587672192,-0.0671772736281019,0.0489928068410209,0.423054099925691,-0.0620107638423391,0.518818043331328,0.325733040401158,0.0313511394457221,0.0065342226843566,0.0276673002293689,38.03,0
34074,37502.0,1.17153862688154,-0.465456731338378,0.743848065210306,0.0194293027037109,-0.565753987541132,0.592718105956667,-0.659657528370799,0.197522678290139,1.14512891373552,-0.530003953292348,-1.19844401793424,0.774254303305474,0.838598623129096,-0.716483337146864,-0.0661143254422049,-0.198351638013461,0.0768784901116555,-0.89807200016589,0.409458481565524,0.0241827632482923,-0.235373975137978,-0.408412466590528,-0.0282899706618825,-0.65860526350316,0.189635064413439,1.01834927084115,-0.0190818212953886,0.009150434108067,37.73,0
137550,82216.0,0.666839735719118,-1.09830246484228,-0.700390518762868,0.0962681204235406,-0.150713426231123,-0.0808555980556918,0.556231572825914,-0.202411822237079,0.292052985653772,-0.456546161693989,-0.961486112929681,0.27282056781339,0.35347879191948,0.166632460782329,0.472933812189548,-0.350543969021351,0.045239376370535,-0.89720985677326,0.214928573241158,0.609175114676363,0.0918149976178552,-0.301702160286413,-0.46225291526347,-0.646429674055758,0.466053806847366,1.16721342581956,-0.143048659814252,0.0396255251481701,343.0,0
126559,78029.0,-0.125709695523569,-0.340432598386244,0.502341995630914,-2.14551868890755,0.33862519431289,0.642630443428791,-0.163937160513813,0.140280962736833,-2.96873482733892,1.29162237252491,-0.225698400477302,-1.32367015356232,-0.0512754608217662,0.160164214338594,0.212387009422263,-0.598665705938482,0.362610284747319,0.396654483061636,1.46844950439306,-0.130779323608241,-0.439025479317436,-1.00849530388746,-0.140828823124924,-1.77420430772643,-0.0900307252464121,-0.26311204133353,0.108696188235969,0.0834737596932359,22.77,0
271542,164622.0,1.24967507438989,-1.09193553381145,-2.15033929391674,1.51871604390384,0.245001823959812,-0.498679564332161,1.04682415859589,-0.345984256535557,-0.0615794955668298,0.248324680207027,0.415577767862027,0.850175834858872,-0.352918311379237,0.826065580491356,-1.13112927962105,-0.389160831147323,-0.477567550887037,0.0387316616909526,0.0650678025831647,0.511616730789185,0.316617234191001,0.208009162944483,-0.399625324138904,-0.37343470369355,0.323027786220448,-0.528025784144634,-0.0940170268023418,-0.0073974605144804,401.54,0
